# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 19 15:48:34 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr < 5
# CONSTRAINT:  and pl_bmassestr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-178 c,TOI-178,1,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,3.23845000,0.00002000,-0.00001900,0,0.037000,0.001100,-0.001100,0,1.669,0.114,-0.099,0,0.149,0.010,-0.009,0,4.77000,0.55000,-0.68000,0,0.01501,0.00173,-0.00214,0,Mass,,,,,,,,,873,18,-18,0,0,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,K,4316.00,70.00,-70.00,0,0.65,0.01,-0.01,0,0.65,0.03,-0.03,0,-0.230,0.050,-0.050,0,[Fe/H],4.45,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,0.2074000,-0.2061000,11.9550000,0.0350000,-0.0350000,8.6560000,0.0210000,-0.0210000,11.1523000,0.0008900,-0.0008900,2021-03-12,2021-05,2021-03-18
TOI-270 d,TOI-270,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=VAN_EYLEN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2154V/abstract target=ref>Van Eylen et al. 2021</a>,11.37957300,0.00001300,-0.00001300,0,0.072100,0.000500,-0.000500,0,2.133,0.058,-0.058,0,0.190,0.005,-0.005,0,4.78000,0.43000,-0.43000,0,0.01504,0.00135,-0.00135,0,Mass,0.032000,0.023000,-0.023000,0,,,,,387,10,-10,0,0,<a refstr=VAN_EYLEN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2154V/abstract target=ref>Van Eylen et al. 2021</a>,M,3506.00,70.00,-70.00,0,0.38,0.01,-0.01,0,0.39,0.01,-0.01,0,-0.200,0.120,-0.120,0,[Fe/H],4.87,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,22.4793000,0.0135500,-0.0135500,12.6030000,0.0390000,-0.0390000,8.2510000,0.0290000,-0.0290000,11.6306000,0.0004760,-0.0004760,2021-08-03,2021-10,2021-08-03
Kepler-223 e,Kepler-223,1,1,4,Transit,2014,Kepler,0,1,Published Confirmed,0,<a refstr=MILLS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..509M/abstract target=ref>Mills et al. 2016</a>,19.72567000,0.00055000,-0.00054000,0,,,,,4.600,0.270,-0.410,0,0.410,0.024,-0.037,0,4.80000,1.40000,-1.20000,0,0.01510,0.00440,-0.00378,0,Mass,0.051000,0.019000,-0.019000,0,,,,,,,,,1,<a refstr=MILLS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..509M/abstract target=ref>Mills et al. 2016</a>,,,,,,1.72,0.07,-0.14,0,1.12,0.09,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.7100000,111.0450000,-111.0450000,15.6900000,0.1370000,-0.1370000,13.6330000,0.0470000,-0.0470000,15.3951000,0.0004070,-0.0004070,2016-08-04,2016-05,2016-08-04
pi Men c,HD 39091,1,1,3,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>,6.26790000,0.00046000,-0.00046000,0,0.068390,0.000500,-0.000500,0,2.042,0.050,-0.050,0,0.182,0.004,-0.004,0,4.82000,0.84000,-0.86000,0,0.01517,0.00264,-0.00271,0,Mass,0.000000,,,0,309.00,29.00,-66.00,0,1170,3,-4,0,0,<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>,G0 V,6037.00,45.00,-45.00,0,1.10,0.02,-0.02,0,1.09,0.04,-0.04,0,0.080,0.030,-0.030,0,[Fe/H],4.42,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h37m11.83s,84.2992798,-80d27m52.57s,-80.4646041,18.2702000,0.0226000,-0.0226000,5.6500000,0.0300000,-0.0300000,4.2410000,0.0270000,-0.0270000,5.5128000,0.0019464,-0.0019464,2018-11-12,2018-12,2018-11-15
GJ 9827 b,GJ 9827,1,1,3,Transit,2017,K2,1,1,Published Confirmed,0,<a refstr=RICE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3731R/abstract target=ref>Rice et al. 2019</a>,1.20898190,0.00000693,-0.00000714,0,0.018800,0.000200,-0.000140,0,1.577,0.027,-0.031,0,0.141,0.002,-0.003,0,4.91000,0.49000,-0.49000,0,0.01545,0.00154,-0.00154,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=RICE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3731R/abstract target=ref>Rice et al. 2019</a>,,4340.00,40.00,-53.00,0,0.60,0.01,0.00,0,0.61,0.02,-0.01,0,-0.260,0.090,-0.090,0,[m/H],4.66,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.6610000,0.0543000,-0.0541000,10.3700000,0.0300000,-0.0300000,7.1930000,0.0240000,-0.0240000,9.8377300,0.0004110,-0.0004110,2019-08-23,2019-04,2019-08-29
TOI-1634 b,TOI-1634,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...79C/abstract target=ref>Cloutier et al. 2021</a>,0.98934300,0.00001500,-0.00001500,0,0.015450,0.000140,-0.000140,0,1.790,0.080,-0.081,0,0.160,0.007,-0.007,0,4.91000,0.68000,-0.70000,0,0.01545,0.00214,-0.00220,0,Mass,0.160000,,,1,121.00,12.00,-11.00,0,924,22,-22,0,0,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...79C/abstract target=ref>Cloutier et al. 2021</a>,M2,3550.00,69.00,-69.00,0,0.45,0.01,-0.01,0,0.50,0.01,-0.01,0,0.230,0.070,-0.080,0,[Fe/H],4.83,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h45m33.75s,56.3906096,+37d06m44.21s,37.1122803,35.2736000,0.0527000,-0.0526000,13.2170000,0.0430000,-0.0430000,8.6000000,0.0140000,-0.0140000,12.1965000,0.0002680,-0.0002680,2021-07-12,2021-08,2021-07-12
Kepler-1655 b,Kepler-1655,1,1,1,Transit,2018,Kepler,1,1,Published Confirmed,0,<a refstr=HAYWOOD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..203H/abstract target=ref>Haywood et al. 2018</a>,11.87287870,0.00000850,-0.00000850,0,0.103000,0.001000,-0.001000,0,2.213,0.082,-0.082,0,0.197,0.007,-0.007,0,5.00000,3.10000,-2.80000,0,0.01573,0.00975,-0.00881,0,Mass,,,,,155.00,7.00,-7.00,0,,,,,0,<a refstr=HAYWOOD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..203H/abstract target=ref>Haywood et al. 2018</a>,G0 V,6148.00,71.00,-71.00,0,1.03,0.02,-0.02,0,1.03,0.04,-0.04,0,-0.240,0.050,-0.050,0,[Fe/H],4.36,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m45.50s,286.6895986,+39d12m43.49s,39.2120802,213.2600000,0.9910000,-0.9820000,11.0450000,0.0100000,-0.0100000,9.7850000,0.0170000,-0.0170000,11.0141000,0.0004130,-0.0004130,2018-04-04,2018-05,2018-04-05
Kepler-29 b,Kepler-29,1,1,2,Transit,2011,Kepler,0,1,Published Confirmed,0,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,10.33974000,0.00014000,-0.00015000,0,,,,,2.550,0.120,-0.120,0,0.227,0.011,-0.011,0,5.00000,1.50000,-1.30000,0,0.01573,0.00472,-0.00409,0,Mass,0.000000,,,0,55.90,6.50,-4.80,0,,,,,1,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,5378.00,60.00,-60.00,0,0.73,0.03,-0.03,0,0.76,0.02,-0.03,0,-0.440,0.040,-0.040,0,[Fe/H],4.60,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m23.61s,298.3483820,+47d29m28.69s,47.4913021,832.5320000,26.3765000,-26.3765000,15.5470000,0.0920000,-0.0920000,13.6570000,0.0450000,-0.0450000,15.2819000,0.0004740,-0.0004740,2020-05-01,2020-03,2020-05-07
Kepler-408 b,Kepler-408,1,1,1,Transit,2014,Kepler,1,1,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,2.46502000,,,0,,,,,0.820,0.030,-0.030,0,0.073,0.003,-0.003,0,5.00000,,,1,0.01573,,,1,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,6104.00,74.00,-74.00,0,1.23,0.03,-0.03,0,1.08,0.07,-0.07,0,-0.200,0.100,-0.100,0,[Fe/H],4.29,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m08.69s,284.7862158,+48d25m23.74s,48.4232622,88.7832000,0.2629000,-0.2614000,8.8340000,0.0020000,-0.0020000,7.4860000,0.0180000,-0.0180000,8.6992000,0.0002600,-0.0002600,2016-10-12,2014-02,2016-10-13
K2-141 b,K2-141,1,1,2,Transit,2018,K2,1,1,Published Confirmed,0,<a refstr=MALAVOLTA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..107M/abstract target=ref>Malavolta et al. 2018</a>,0.28032440,0.00000150,-0.00000150,0,,,,,1.510,0.050,-0.050,0,0.135,0.004,-0.004,0,5.08000,0.41000,-0.41000,0,0.01598,0.00129,-0.00129,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=MALAVOLTA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..107M/abstract target=ref>Malavolta et al. 2018</a>,,4599.00,79.00,-79.00,0,0.68,0.02,-0.02,0,0.71,0.03,-0.03,0,-0.060,0.080,-0.100,0,[Fe/H],4.62,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h23m40.09s,350.9170464,-01d11m21.06s,-1.1891827,61.8736000,0.1662000,-0.1654000,11.4540000,0.0230000,-0.0230000,8.4010000,0.0230000,-0.0230000,10.7217000,0.0006920,-0.0006920,2018-01-16,2018-03,2018-01-18
Kepler-21 b,Kepler-21,1,2,1,Transit,2012,Kepler,1,1,Published Confirmed,0,<a refstr=L_OACUTE_PEZ_MORALES_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..204L/abstract target=ref>L&oacute;pez-Morales et al. 2016</a>,2.78578000,0.00003000,-0.00003000,0,0.042717,0.000000,0.000000,0,1.639,0.019,-0.015,0,0.146,0.002,-0.001,0,5.08000,1.72000,-1.72000,0,0.01598,0.00541,-0.00541,0,Mass,0.020000,0.100000,-0.100000,0,,,,,2025,20,-20,0,0,<a refstr=L_OACUTE_PEZ_MORALES_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..204L/abstract target=ref>L&oacute;pez-Morales et al. 2016</a>,,6305.00,50.00,-50.00,0,1.90,0.02,-0.01,0,1.41,0.02,-0.03,0,-0.030,0.100,-0.100,0,[Fe/H],4.03,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m26.87s,287.3619673,+38d42m50.90s,38.7141384,108.5220000,0.3850000,-0.3820000,8.2500000,0.0300000,-0.0300000,6.9450000,0.0180000,-0.0180000,8.1283200,0.0004590,-0.0004590,2016-10-05,2016-12,2016-10-06
Kepler-223 c,Kepler-223,1,1,4,Transit,2014,Kepler,0,1,Published Confirmed,0,<a refstr=MILLS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..509M/abstract target=ref>Mills et al. 2016</a>,9.84564000,0.00052000,-0.00051000,0,,,,,3.440,0.200,-0.300,0,0.307,0.018,-0.027,0,5.10000,1.70000,-1.10000,0,0.01605,0.00535,-0.00346,0,Mass,0.150000,0.019000,-0.051000,0,,,,,,,,,1,<a refstr=MILLS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..509M/abstract target=ref>Mills et al. 2016</a>,,,,,,1.72,0.07,-0.14,0,1.12,0.09,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.7100000,111.0450000,-111.0450000,15.6900000,0.1370000,-0.1370000,13.6330000,0.0470000,-0.0470000,15.3951000,0.0004070,-0.0004070,2016-08-04,2016-05,2016-08-04
Kepler-26 b,Kepler-26,1,1,4,Transit,2011,Kepler,0,1,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,12.28000000,0.00030000,-0.00030000,0,,,,,2.780,0.110,-0.110,0,0.248,0.010,-0.010,0,5.12000,0.65000,-0.61000,0,0.01611,0.00205,-0.00192,0,Mass,,,,,7.60,1.10,-1.10,0,,,,,1,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,,3914.00,119.00,-119.00,0,0.51,0.02,-0.02,0,0.54,0.03,-0.03,0,-0.130,0.130,-0.130,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m45.86s,284.9410627,+46d33m59.22s,46.5664505,335.3070000,3.0565000,-3.0565000,15.8530000,0.0350000,-0.0350000,12.6300000,0.0260000,-0.0260000,15.4089000,0.0004690,-0.0004690,2016-04-13,2016-03,2016-04-07
Kepler-102 f,Kepler-102,1,1,5,Transit,2014,Kepler,1,1,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,27.45360000,,,0,,,,,0.880,0.030,-0.030,0,0.079,0.003,-0.003,0,5.20000,,,1,0.01636,,,1,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,4903.00,74.00,-74.00,0,0.74,0.02,-0.02,0,0.80,0.06,-0.06,0,0.080,0.070,-0.070,0,[Fe/H],4.61,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.7960000,0.2200000,-0.2190000,12.0720000,0.0270000,-0.0270000,9.3510000,0.0110000,-0.0110000,11.4784000,0.0002480,-0.0002480,2016-10-12,2014-02,2016-10-13
K2-111 b,K2-111,1,1,2,Transit,2017,K2,1,1,Published Confirmed,0,<a refstr=MORTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5004M/abstract target=ref>Mortier et al. 2020</a>,5.35180000,0.00040000,-0.00040000,0,0.057000,0.001200,-0.001200,0,1.820,0.110,-0.090,0,0.162,0.010,-0.008,0,5.29000,0.76000,-0.77000,0,0.01664,0.00239,-0.00242,0,Mass,0.130000,0.130000,-0.090000,0,,,,,,,,,0,<a refstr=MORTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5004M/abstract target=ref>Mortier et al. 2020</a>,G2,5775.00,60.00,-60.00,0,1.25,0.02,-0.02,0,0.84,0.02,-0.02,0,-0.460,0.050,-0.050,0,[Fe/H],4.25,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.3940000,2.7630000,-2.6900000,11.1300000,0.0340000,-0.0340000,9.3770000,0.0210000,-0.0210000,10.9294000,0.0006210,-0.0006210,2020-12-10,2020-10,2020-12-17
Kepler-106 b,Kepler-106,1,1,4,Transit,2014,Kepler,1,1,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,6.16486000,,,0,,,,,0.820,0.110,-0.110,0,0.073,0.010,-0.010,0,5.30000,,,1,0.01668,,,1,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5858.00,114.00,-114.00,0,1.04,0.17,-0.17,0,1.00,0.06,-0.06,0,-0.120,0.110,-0.110,0,[Fe/H],4.41,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h03m27.36s,300.8640060,+44d20m15.18s,44.3375497,444.3220000,6.1010000,-5.9410000,12.9230000,0.0800000,-0.0800000,11.4310000,0.0180000,-0.0180000,12.8391000,0.0001860,-0.0001860,2016-10-12,2014-02,2016-10-13
